"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","mocodes","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","weapon_used_cd","weapon_desc","status","status_desc","crm_cd_1","crm_cd_2","crm_cd_3","crm_cd_4","location","cross_street","lat","lon"
"221016258","2022-09-20T00:00:00.000","2020-01-01T00:00:00.000","0001","10","West Valley","1067","2","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","2041 1906 1822","30","F","O","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","956",,,,"5200    GENESTA                      AV",,"34.166","-118.5033"
"220705246","2022-02-03T00:00:00.000","2020-02-11T00:00:00.000","1200","07","Wilshire","0747","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,"57","F","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","341",,,,"800 S  TREMAINE                     AV",,"34.0608","-118.3359"
"230808643","2023-04-25T00:00:00.000","2020-01-01T00:00:00.000","0800","08","West LA","0801","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0352 1822 0344","56","F","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","341",,,,"16700    MONTE HERMOSO                DR",,"34.0677","-118.552"
"231907172","2023-03-21T00:00:00.000","2020-03-15T00:00:00.000","1200","19","Mission","1983","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","1259 0913 1817 1801 0503","12","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","812","860",,,"8500    COLUMBUS                     AV",,"34.2246","-118.4654"
"232011098","2023-06-04T00:00:00.000","2020-07-01T00:00:00.000","1200","20","Olympic","2088","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","1251 1258 0400 0522 0913 0551 2021","7","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","812","860",,,"1700 S  WESTMORELAND                 AV",,"34.0433","-118.2892"
"200412582","2020-09-09T00:00:00.000","2020-09-09T00:00:00.000","0630","04","Hollenbeck","0413","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"200 E  AVENUE 28",,"34.082","-118.213"
"232112438","2023-08-03T00:00:00.000","2020-07-01T00:00:00.000","1200","21","Topanga","2157","2","354","THEFT OF IDENTITY","1822 0929 0930","46","M","B","751","WEBSITE",,,"IC","Invest Cont","354",,,,"21000    VANOWEN                      ST",,"34.1938","-118.5906"
"221105176","2022-02-02T00:00:00.000","2020-02-09T00:00:00.000","1200","11","Northeast","1132","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","1912 0913","30","F","W","501","SINGLE FAMILY DWELLING","500","UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other","930",,,,"2800    WAVERLY                      DR",,"34.1084","-118.2639"
"222106031","2022-02-23T00:00:00.000","2020-08-14T00:00:00.000","1300","21","Topanga","2113","2","668","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,"0",,,"203","OTHER BUSINESS",,,"IC","Invest Cont","668",,,,"7700    SAUSALITO                    AV",,"34.2105","-118.6157"
"200209713","2020-05-03T00:00:00.000","2020-05-02T00:00:00.000","1800","02","Rampart","0245","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"2500 W  4TH                          ST",,"34.0642","-118.2771"
"211209197","2021-03-20T00:00:00.000","2020-07-01T00:00:00.000","1425","12","77th Street","1243","2","354","THEFT OF IDENTITY","0928","51","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"1600 W  67TH                         ST",,"33.9785","-118.3068"
"220808837","2022-04-28T00:00:00.000","2020-03-30T00:00:00.000","1630","08","West LA","0842","2","624","BATTERY - SIMPLE ASSAULT","2000 1813 0913 0416","24","F","O","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"1200 S  WESTGATE                     AV",,"34.0474","-118.4635"
"231207725","2023-02-27T00:00:00.000","2020-01-27T00:00:00.000","0635","12","77th Street","1242","2","354","THEFT OF IDENTITY","0100 0917 1822","37","M","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"6200    4TH                          AV",,"33.9837","-118.3216"
"231205231","2023-01-17T00:00:00.000","2020-01-01T00:00:00.000","1535","12","77th Street","1268","2","354","THEFT OF IDENTITY","0100 0928","27","M","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"100 E  85TH                         ST",,"33.961","-118.2739"
"231108757","2023-05-09T00:00:00.000","2020-05-08T00:00:00.000","2023","11","Northeast","1101","1","330","BURGLARY FROM VEHICLE","0344 1302 1307","20","M","A","108","PARKING LOT",,,"IC","Invest Cont","330",,,,"2800 E  OBSERVATORY                  RD",,"34.1192","-118.3004"
"221404806","2022-01-19T00:00:00.000","2020-01-18T00:00:00.000","1600","14","Pacific","1446","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"WASHINGTON                   PL","INGLEWOOD","34.0022","-118.4255"
"220215983","2022-09-06T00:00:00.000","2020-05-26T00:00:00.000","1200","02","Rampart","0233","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"200 S  CORONADO                     ST",,"34.0697","-118.2779"
"211220472","2021-09-27T00:00:00.000","2020-11-26T00:00:00.000","2000","12","77th Street","1259","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0913 0400 0443 1814 2000","29","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","511","VERBAL THREAT","AO","Adult Other","930",,,,"7800 S  SAN PEDRO                    ST",,"33.9679","-118.2695"
"211818877","2021-10-22T00:00:00.000","2020-03-10T00:00:00.000","1500","18","Southeast","1801","2","354","THEFT OF IDENTITY","0100 1822 0930 0922","26","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"8700    ORCHARD                      AV",,"33.9587","-118.2882"
"221515929","2022-10-10T00:00:00.000","2020-04-01T00:00:00.000","1200","15","N Hollywood","1539","2","354","THEFT OF IDENTITY","0377","33","M","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"5700    CARTWRIGHT                   AV",,"34.174","-118.3638"
"230406865","2023-03-28T00:00:00.000","2020-06-28T00:00:00.000","1250","04","Hollenbeck","0478","2","354","THEFT OF IDENTITY","0100","34","F","B","504","OTHER RESIDENCE",,,"IC","Invest Cont","354",,,,"3400    PERCY                        ST",,"34.0286","-118.1996"
"231915767","2023-10-25T00:00:00.000","2020-09-02T00:00:00.000","0001","19","Mission","1985","2","354","THEFT OF IDENTITY","0917","15","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"8700    TOBIAS                       AV",,"34.228","-118.4517"
"221016530","2022-11-15T00:00:00.000","2020-10-23T00:00:00.000","1735","10","West Valley","1045","2","354","THEFT OF IDENTITY","1822 0935 1202","65","M","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"17900    EMELITA                      ST",,"34.1776","-118.523"
"231210407","2023-04-18T00:00:00.000","2020-01-01T00:00:00.000","0001","12","77th Street","1259","2","354","THEFT OF IDENTITY","0930 0929 0928 1822","59","F","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"700 E  73RD                         ST",,"33.9739","-118.263"
"220208037","2022-03-30T00:00:00.000","2020-01-01T00:00:00.000","0800","02","Rampart","0249","2","813","CHILD ANNOYING (17YRS & UNDER)","1822 0359 1251 1259","15","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","813",,,,"1100 W  6TH                          ST",,"34.0541","-118.2621"
"221504294","2022-01-06T00:00:00.000","2020-10-30T00:00:00.000","0001","15","N Hollywood","1535","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","0522 0500 1258","9","M","W","501","SINGLE FAMILY DWELLING","500","UNKNOWN WEAPON/OTHER WEAPON","AA","Adult Arrest","812",,,,"5700    COLFAX                       AV",,"34.174","-118.3878"
"221312369","2022-06-03T00:00:00.000","2020-12-10T00:00:00.000","0700","13","Newton","1333","2","354","THEFT OF IDENTITY","0100","33","M","H","750","CYBERSPACE",,,"IC","Invest Cont","354",,,,"2700 S  CENTRAL                      AV",,"34.0174","-118.2621"
"220911866","2022-07-26T00:00:00.000","2020-02-01T00:00:00.000","0505","09","Van Nuys","0971","2","354","THEFT OF IDENTITY","0922 0929 0923 0930","34","F","W","605","AUTOMATED TELLER MACHINE (ATM)",,,"IC","Invest Cont","354",,,,"15200    LA MAIDA                     ST",,"34.1585","-118.464"
"231906599","2023-03-03T00:00:00.000","2020-01-14T00:00:00.000","1335","19","Mission","1902","2","354","THEFT OF IDENTITY","0928","35","M","O","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"14500    WILLOWGREEN                  LN",,"34.3194","-118.4518"
"220321807","2022-12-13T00:00:00.000","2020-05-17T00:00:00.000","1620","03","Southwest","0317","2","354","THEFT OF IDENTITY","0929 1822 0100 0930 0922","50","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"1400 W  25TH                         ST",,"34.0337","-118.2915"
"221216052","2022-07-07T00:00:00.000","2020-02-23T00:00:00.000","1000","12","77th Street","1256","2","354","THEFT OF IDENTITY","0100","28","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"500 W  75TH                         ST",,"33.9717","-118.2827"
"220508440","2022-04-27T00:00:00.000","2020-07-07T00:00:00.000","1200","05","Harbor","0585","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 1202 1606","64","M","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","341",,,,"2300 S  MEYLER                       ST",,"33.7234","-118.2968"
"220213256","2022-07-14T00:00:00.000","2020-07-14T00:00:00.000","0900","02","Rampart","0257","2","354","THEFT OF IDENTITY","0100 0928 1202","79","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"1200 W  7TH                          ST",,"34.0552","-118.2675"
"221607555","2022-04-22T00:00:00.000","2020-08-01T00:00:00.000","1200","16","Foothill","1612","2","354","THEFT OF IDENTITY","0928","40","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"11100    HERRICK                      AV",,"34.2713","-118.415"
"221516944","2022-11-03T00:00:00.000","2020-06-01T00:00:00.000","1200","15","N Hollywood","1517","2","354","THEFT OF IDENTITY","1817","59","M","O","203","OTHER BUSINESS",,,"IC","Invest Cont","354",,,,"6700    BAKMAN                       AV",,"34.1925","-118.3779"
"230617817","2023-11-14T00:00:00.000","2020-11-13T00:00:00.000","2015","06","Hollywood","0622","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","420",,,,"7200    FRANKLIN                     AV",,"34.1146","-118.3607"
"231115685","2023-11-12T00:00:00.000","2020-11-12T00:00:00.000","1430","11","Northeast","1123","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344","27","M","W","108","PARKING LOT",,,"IC","Invest Cont","440",,,,"3300    GLENDALE                     BL",,"34.1142","-118.2652"
"231707687","2023-04-04T00:00:00.000","2020-05-08T00:00:00.000","1845","17","Devonshire","1745","2","354","THEFT OF IDENTITY","0917 0929","44","M","O","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"17100    CHATSWORTH                   ST",,"34.2648","-118.5055"
"230711357","2023-06-26T00:00:00.000","2020-01-01T00:00:00.000","0001","07","Wilshire","0774","2","354","THEFT OF IDENTITY","1501","32","F","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"4900 W  WASHINGTON                   BL",,"34.0431","-118.3482"
"220409258","2022-05-29T00:00:00.000","2020-03-29T00:00:00.000","1315","04","Hollenbeck","0467","2","354","THEFT OF IDENTITY","0100","16","M","H","504","OTHER RESIDENCE",,,"IC","Invest Cont","354",,,,"2600 E  4TH                          ST",,"34.0395","-118.2093"
"220119956","2022-09-06T00:00:00.000","2020-07-01T00:00:00.000","1130","01","Central","0162","2","354","THEFT OF IDENTITY","0928 1822","22","F","B","750","CYBERSPACE",,,"IC","Invest Cont","354",,,,"800 S  HOPE                         ST",,"34.0466","-118.259"
"240604173","2024-01-05T00:00:00.000","2020-07-09T00:00:00.000","1230","06","Hollywood","0637","2","354","THEFT OF IDENTITY","0928","21","M","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"6200    HOLLYWOOD                    BL",,"34.103","-118.3225"
"220104934","2022-01-17T00:00:00.000","2020-12-20T00:00:00.000","1730","01","Central","0158","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1822 1414 0947 0344","0","X","X","102","SIDEWALK",,,"IC","Invest Cont","341",,,,"6TH                          ST","GLADYS                       AV","34.0403","-118.2421"
"221718084","2022-12-20T00:00:00.000","2020-12-02T00:00:00.000","1510","17","Devonshire","1764","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","0344","15","F","H","404","DEPARTMENT STORE",,,"IC","Invest Cont","440",,,,"9300    TAMPA                        AV",,"34.244","-118.5583"
"221110929","2022-06-28T00:00:00.000","2020-06-27T00:00:00.000","1945","11","Northeast","1113","1","330","BURGLARY FROM VEHICLE","0344","34","F","W","108","PARKING LOT",,,"IC","Invest Cont","330",,,,"2800    COLORADO                     BL",,"34.1428","-118.2261"
"231711735","2023-06-07T00:00:00.000","2020-09-02T00:00:00.000","0800","17","Devonshire","1775","2","354","THEFT OF IDENTITY","0929 1822","46","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"17400    NORDHOFF                     ST",,"34.2394","-118.5112"
"231912127","2023-07-26T00:00:00.000","2020-01-26T00:00:00.000","1735","19","Mission","1913","2","354","THEFT OF IDENTITY","0923","46","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"14600    NURMI                        ST",,"34.307","-118.4521"
"231818830","2023-11-01T00:00:00.000","2020-01-01T00:00:00.000","0001","18","Southeast","1841","2","762","LEWD CONDUCT","0913 0602 0360 0545 0536 0531 1258","6","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","762",,,,"500 W  108TH                        ST",,"33.9383","-118.2826"
"221710268","2022-06-21T00:00:00.000","2020-05-20T00:00:00.000","0600","17","Devonshire","1767","1","441","THEFT PLAIN - ATTEMPT","0352 0344 1202 2004 2021 0913 1817","72","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","441",,,,"18600    PRAIRIE                      ST",,"34.2442","-118.5362"
"231007464","2023-03-30T00:00:00.000","2020-06-25T00:00:00.000","1225","10","West Valley","1015","2","354","THEFT OF IDENTITY","1822 0929","28","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"7400    JAMIESON                     AV",,"34.2048","-118.5219"
"221917823","2022-12-12T00:00:00.000","2020-04-05T00:00:00.000","1550","19","Mission","1921","2","354","THEFT OF IDENTITY",,"23","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"15400    EL CAJON                     ST",,"34.3054","-118.4681"
"211404152","2021-01-04T00:00:00.000","2020-12-28T00:00:00.000","1600","14","Pacific","1463","1","310","BURGLARY","0397 0344","44","F","H","221","PUBLIC STORAGE",,,"IC","Invest Cont","310",,,,"12600 W  JEFFERSON                    BL",,"33.9788","-118.4151"
"231205374","2023-01-25T00:00:00.000","2020-10-12T00:00:00.000","1200","12","77th Street","1263","2","354","THEFT OF IDENTITY","0100 0930 1822","35","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"8300 S  HARVARD                      BL",,"33.9636","-118.3068"
"231505589","2023-02-08T00:00:00.000","2020-09-01T00:00:00.000","1200","15","N Hollywood","1557","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","0400 0416","10","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","812","860",,,"10800    HORTENSE                     ST",,"34.1548","-118.3662"
"231420506","2023-11-06T00:00:00.000","2020-04-02T00:00:00.000","1825","14","Pacific","1445","2","354","THEFT OF IDENTITY","0928","60","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"12700    PACIFIC                      AV",,"33.9993","-118.4397"
"221508505","2022-04-20T00:00:00.000","2020-12-31T00:00:00.000","1200","15","N Hollywood","1525","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"5900    CARPENTER                    AV",,"34.1776","-118.3889"
"231817823","2023-10-13T00:00:00.000","2020-08-23T00:00:00.000","0001","18","Southeast","1846","2","354","THEFT OF IDENTITY","1822 0100 0344","32","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"1500 E  112TH                        ST",,"33.9332","-118.2485"
"231212586","2023-05-24T00:00:00.000","2020-06-03T00:00:00.000","2150","12","77th Street","1241","2","354","THEFT OF IDENTITY","1822 0930 0929","36","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"6400    8TH                          AV",,"33.9821","-118.3318"
"220309099","2022-04-14T00:00:00.000","2020-06-23T00:00:00.000","1530","03","Southwest","0311","2","354","THEFT OF IDENTITY","0100 0925 0930 1202 1822","72","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"2600    CARMONA                      AV",,"34.0325","-118.3639"
"201810154","2020-04-26T00:00:00.000","2020-04-22T00:00:00.000","1900","18","Southeast","1802","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"90TH","WALL","33.9547","-118.2717"
"221412410","2022-06-15T00:00:00.000","2020-11-12T00:00:00.000","1700","14","Pacific","1444","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"13600    MARINA POINT                 DR",,"33.9876","-118.4489"
"211505284","2021-02-02T00:00:00.000","2020-12-27T00:00:00.000","2000","15","N Hollywood","1585","1","330","BURGLARY FROM VEHICLE","1300 0344","18","F","H","707","GARAGE/CARPORT",,,"IC","Invest Cont","330",,,,"10900    BLUFFSIDE                    DR",,"34.1412","-118.3681"
"220209598","2022-04-25T00:00:00.000","2020-12-29T00:00:00.000","0800","02","Rampart","0238","2","956","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","0913 1817 1906","27","F","B","501","SINGLE FAMILY DWELLING",,,"AO","Adult Other","956",,,,"1300    ANGELINA                     ST",,"34.0648","-118.2559"
"220316688","2022-09-12T00:00:00.000","2020-09-11T00:00:00.000","2100","03","Southwest","0357","1","331","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0344 0385 1251 1300 1606 1822 0329 1309","27","F","O","101","STREET",,,"IC","Invest Cont","331",,,,"1300 W  37TH                         DR",,"34.0191","-118.2977"
"231814007","2023-07-27T00:00:00.000","2020-10-27T00:00:00.000","0915","18","Southeast","1849","2","354","THEFT OF IDENTITY","0928 1822","29","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"2200 E  111TH                        ST",,"33.9345","-118.2329"
"222004619","2020-12-21T00:00:00.000","2020-12-20T00:00:00.000","1529","20","Olympic","2069","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 1202 1822 2032","63","M","K","702","OFFICE BUILDING/OFFICE",,,"IC","Invest Cont","341",,,,"2500 W  OLYMPIC                      BL",,"34.0524","-118.2842"
"220208989","2022-04-14T00:00:00.000","2020-04-14T00:00:00.000","0945","02","Rampart","0256","2","354","THEFT OF IDENTITY","0100","28","M","O","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"600 S  UNION                        AV",,"34.0565","-118.2724"
"221516098","2022-10-13T00:00:00.000","2020-10-13T00:00:00.000","1200","15","N Hollywood","1557","2","860","BATTERY WITH SEXUAL CONTACT","0913 1810","29","M","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","860",,,,"10900    BLIX                         ST",,"34.1567","-118.368"
"221209581","2022-04-07T00:00:00.000","2020-01-01T00:00:00.000","0800","12","77th Street","1215","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","1258 0913 0602 0522 0556 0400","9","F","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other","812","860",,,"5500 S  VERMONT                      AV",,"33.9921","-118.298"
